,Timestamp,System ON,System ON Timestamps,System OFF Timestamps,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology,Solar Irradiance (W/m²)
7551,08/11/2024 00:15,False,,08/11/2024 00:15,33.5880679,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.706,True,False,Residential,"10.525053,7.421953",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7552,08/11/2024 00:30,False,,08/11/2024 00:30,32.8766951,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.707,True,False,Residential,"10.525053,7.421954",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7553,08/11/2024 00:45,False,,08/11/2024 00:45,30.0307905,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.708,True,False,Residential,"10.525053,7.421955",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7554,08/11/2024 01:00,False,,08/11/2024 01:00,31.71544386,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.709,True,False,Residential,"10.525053,7.421956",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7555,08/11/2024 01:15,False,,08/11/2024 01:15,32.68816989,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.71,True,False,Residential,"10.525053,7.421957",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7556,08/11/2024 01:30,False,,08/11/2024 01:30,34.49642215,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.711,True,False,Residential,"10.525053,7.421958",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7557,08/11/2024 01:45,False,,08/11/2024 01:45,30.00288145,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.712,True,False,Residential,"10.525053,7.421959",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7558,08/11/2024 02:00,False,,08/11/2024 02:00,34.04273644,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.713,True,False,Residential,"10.525053,7.421960",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7559,08/11/2024 02:15,False,,08/11/2024 02:15,34.96207367,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.714,True,False,Residential,"10.525053,7.421961",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7560,08/11/2024 02:30,False,,08/11/2024 02:30,31.03599395,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.715,True,False,Residential,"10.525053,7.421962",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7561,08/11/2024 02:45,False,,08/11/2024 02:45,30.13252458,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.716,True,False,Residential,"10.525053,7.421963",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7562,08/11/2024 03:00,False,,08/11/2024 03:00,31.54374634,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.717,True,False,Residential,"10.525053,7.421964",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7563,08/11/2024 03:15,False,,08/11/2024 03:15,33.8858908,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.718,True,False,Residential,"10.525053,7.421965",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7564,08/11/2024 03:30,False,,08/11/2024 03:30,34.28587226,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.719,True,False,Residential,"10.525053,7.421966",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7565,08/11/2024 03:45,False,,08/11/2024 03:45,34.72631847,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.72,True,False,Residential,"10.525053,7.421967",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7566,08/11/2024 04:00,False,,08/11/2024 04:00,34.32087751,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.721,True,False,Residential,"10.525053,7.421968",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7567,08/11/2024 04:15,False,,08/11/2024 04:15,33.43527425,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.722,True,False,Residential,"10.525053,7.421969",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7568,08/11/2024 04:30,False,,08/11/2024 04:30,32.89649338,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.723,True,False,Residential,"10.525053,7.421970",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7569,08/11/2024 04:45,False,,08/11/2024 04:45,31.22622452,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.724,True,False,Residential,"10.525053,7.421971",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7570,08/11/2024 05:00,False,,08/11/2024 05:00,31.0074906,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.725,True,False,Residential,"10.525053,7.421972",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7571,08/11/2024 05:15,False,,08/11/2024 05:15,30.26335385,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.726,True,False,Residential,"10.525053,7.421973",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7572,08/11/2024 05:30,False,,08/11/2024 05:30,30.12197757,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.727,True,False,Residential,"10.525053,7.421974",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7573,08/11/2024 05:45,False,,08/11/2024 05:45,30.17056122,0.0,0.0,0.271162152,90.0,,False,220.0,0.0,0.9,4.728,True,False,Residential,"10.525053,7.421975",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7574,08/11/2024 06:00,False,,08/11/2024 06:00,31.25410926,1.439315311,0.0,0.271521981,90.0,,False,220.0,0.0,0.9,4.729,True,False,Residential,"10.525053,7.421976",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,4.797717703
7575,08/11/2024 06:15,False,,08/11/2024 06:15,30.43262653,9.303808314,0.0,0.273847933,90.0,,False,220.0,0.0,0.9,4.73,True,False,Residential,"10.525053,7.421977",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,31.01269438
7576,08/11/2024 06:30,False,,08/11/2024 06:30,33.12465427,23.20282206,0.0,0.279648639,90.0,,False,220.0,0.0,0.9,4.731,True,False,Residential,"10.525053,7.421978",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,77.3427402
7577,08/11/2024 06:45,False,,08/11/2024 06:45,29.54872128,21.15194588,0.0,0.284936625,90.0,,False,220.0,0.0,0.9,4.732,True,False,Residential,"10.525053,7.421979",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,70.50648627
7578,08/11/2024 07:00,False,,08/11/2024 07:00,31.09138664,43.9027666,0.0,0.295912317,90.0,,False,220.0,0.0,0.9,4.733,True,False,Residential,"10.525053,7.421980",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,146.3425553
7579,08/11/2024 07:15,False,,08/11/2024 07:15,34.0964304,52.58593552,0.0,0.309058801,90.0,,False,220.0,0.0,0.9,4.734,False,False,Residential,"10.525053,7.421981",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,175.2864517
7580,08/11/2024 07:30,True,08/11/2024 07:30,,31.2488168,62.76628518,0.536800431,0.2,90.0,,False,220.0,2.44000196,0.9,4.735,True,False,Residential,"10.525053,7.421982",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,209.2209506
7581,08/11/2024 07:45,False,,08/11/2024 07:45,29.81897643,52.57183778,0.0,0.213142959,90.0,,False,220.0,0.0,0.9,4.736,True,False,Residential,"10.525053,7.421983",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,175.2394593
7582,08/11/2024 08:00,False,,08/11/2024 08:00,31.89824601,75.88050205,0.0,0.232113085,90.0,,False,220.0,0.0,0.9,4.737,True,False,Residential,"10.525053,7.421984",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,252.9350068
7583,08/11/2024 08:15,False,,08/11/2024 08:15,32.58879422,95.53457475,0.0,0.255996729,90.0,,False,220.0,0.0,0.9,4.738,True,False,Residential,"10.525053,7.421985",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,318.4485825
7584,08/11/2024 08:30,False,,08/11/2024 08:30,29.21893583,109.0885594,0.0,0.283268868,90.0,,False,220.0,0.0,0.9,4.739,True,False,Residential,"10.525053,7.421986",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,363.6285314
7585,08/11/2024 08:45,False,,08/11/2024 08:45,34.90648205,99.26131207,0.0,0.308084197,90.0,,False,220.0,0.0,0.9,4.74,False,False,Residential,"10.525053,7.421987",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,330.8710402
7586,08/11/2024 09:00,True,08/11/2024 09:00,,31.41403972,108.7203626,0.223163755,0.279473348,90.0,,False,220.0,1.014380705,0.9,4.741,True,False,Residential,"10.525053,7.421988",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,362.4012086
7587,08/11/2024 09:15,False,,08/11/2024 09:15,31.2861223,125.5988508,0.0,0.310873061,90.0,,False,220.0,0.0,0.9,4.742,False,False,Residential,"10.525053,7.421989",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,418.6628359
7588,08/11/2024 09:30,True,08/11/2024 09:30,,32.81381697,130.771319,0.266125258,0.277034576,90.0,,False,220.0,1.209660266,0.9,4.743,True,False,Residential,"10.525053,7.421990",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,435.9043968
7589,08/11/2024 09:45,False,,08/11/2024 09:45,34.5211122,143.9967766,0.0,0.31303377,90.0,,False,220.0,0.0,0.9,4.744,False,False,Residential,"10.525053,7.421991",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,479.9892553
7590,08/11/2024 10:00,True,08/11/2024 10:00,,32.84327999,129.1984462,0.252068567,0.28231624,90.0,,False,220.0,1.145766214,0.9,4.745,True,False,Residential,"10.525053,7.421992",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,430.6614872
7591,08/11/2024 10:15,False,,08/11/2024 10:15,34.69396302,145.0172122,0.0,0.318570543,90.0,,False,220.0,0.0,0.9,4.746,False,False,Residential,"10.525053,7.421993",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,483.3907073
7592,08/11/2024 10:30,True,08/11/2024 10:30,,32.86873086,136.9378087,0.216326768,0.298723303,90.0,,False,220.0,0.98330349,0.9,4.747,True,False,Residential,"10.525053,7.421994",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,456.4593624
7593,08/11/2024 10:45,False,,08/11/2024 10:45,29.06279034,133.4429149,0.0,0.332084032,90.0,,False,220.0,0.0,0.9,4.748,False,False,Residential,"10.525053,7.421995",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,444.8097163
7594,08/11/2024 11:00,True,08/11/2024 11:00,,34.15877954,166.0373738,0.474674928,0.254924643,90.0,,False,220.0,2.157613311,0.9,4.749,True,False,Residential,"10.525053,7.421996",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,553.4579126
7595,08/11/2024 11:15,False,,08/11/2024 11:15,32.30842837,159.0399275,0.0,0.294684625,90.0,,False,220.0,0.0,0.9,4.75,True,False,Residential,"10.525053,7.421997",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,530.1330916
7596,08/11/2024 11:30,False,,08/11/2024 11:30,30.37619894,166.3391443,0.0,0.336269411,90.0,,False,220.0,0.0,0.9,4.751,False,False,Residential,"10.525053,7.421998",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,554.4638142
7597,08/11/2024 11:45,True,08/11/2024 11:45,,31.75793748,155.1740448,0.345717517,0.288633543,90.0,,False,220.0,1.571443259,0.9,4.752,True,False,Residential,"10.525053,7.421999",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,517.2468162
7598,08/11/2024 12:00,False,,08/11/2024 12:00,33.65001672,176.1015658,0.0,0.332658935,90.0,,False,220.0,0.0,0.9,4.753,False,False,Residential,"10.525053,7.422000",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,587.0052194
7599,08/11/2024 12:15,True,08/11/2024 12:15,,31.25554615,151.1040832,0.553033009,0.232176703,90.0,,False,220.0,2.513786405,0.9,4.754,True,False,Residential,"10.525053,7.422001",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,503.6802773
7600,08/11/2024 12:30,False,,08/11/2024 12:30,31.97534343,137.9441171,0.0,0.266662733,90.0,,False,220.0,0.0,0.9,4.755,True,False,Residential,"10.525053,7.422002",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,459.8137235
7601,08/11/2024 12:45,False,,08/11/2024 12:45,29.91540842,153.4387969,0.0,0.305022432,90.0,,False,220.0,0.0,0.9,4.756,False,False,Residential,"10.525053,7.422003",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,511.4626564
7602,08/11/2024 13:00,True,08/11/2024 13:00,,32.33906047,161.8163581,0.534976358,0.211732432,90.0,,False,220.0,2.43171072,0.9,4.757,True,False,Residential,"10.525053,7.422004",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,539.3878603
7603,08/11/2024 13:15,False,,08/11/2024 13:15,30.92489731,144.0155498,0.0,0.247736319,90.0,,False,220.0,0.0,0.9,4.758,True,False,Residential,"10.525053,7.422005",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,480.0518325
7604,08/11/2024 13:30,False,,08/11/2024 13:30,31.12545609,151.7477939,0.0,0.285673268,90.0,,False,220.0,0.0,0.9,4.759,True,False,Residential,"10.525053,7.422006",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,505.8259795
7605,08/11/2024 13:45,False,,08/11/2024 13:45,30.34793378,128.6276729,0.0,0.317830186,90.0,,False,220.0,0.0,0.9,4.76,False,False,Residential,"10.525053,7.422007",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,428.7589097
7606,08/11/2024 14:00,True,08/11/2024 14:00,,34.52348838,128.2282776,0.544559506,0.213747379,90.0,,False,220.0,2.475270481,0.9,4.761,True,False,Residential,"10.525053,7.422008",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,427.4275921
7607,08/11/2024 14:15,False,,08/11/2024 14:15,33.26544758,128.066002,0.0,0.245763879,90.0,,False,220.0,0.0,0.9,4.762,True,False,Residential,"10.525053,7.422009",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,426.8866732
7608,08/11/2024 14:30,False,,08/11/2024 14:30,29.87655939,124.8587201,0.0,0.276978559,90.0,,False,220.0,0.0,0.9,4.763,True,False,Residential,"10.525053,7.422010",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,416.1957338
7609,08/11/2024 14:45,False,,08/11/2024 14:45,33.51091025,122.3509647,0.0,0.307566301,90.0,,False,220.0,0.0,0.9,4.764,False,False,Residential,"10.525053,7.422011",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,407.836549
7610,08/11/2024 15:00,True,08/11/2024 15:00,,34.43266898,111.4416319,0.330723249,0.252745896,90.0,,False,220.0,1.503287494,0.9,4.765,True,False,Residential,"10.525053,7.422012",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,371.4721064
7611,08/11/2024 15:15,False,,08/11/2024 15:15,29.23450859,110.2333981,0.0,0.280304246,90.0,,False,220.0,0.0,0.9,4.766,True,False,Residential,"10.525053,7.422013",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,367.4446603
7612,08/11/2024 15:30,False,,08/11/2024 15:30,33.68876922,94.74015431,0.0,0.303989284,90.0,,False,220.0,0.0,0.9,4.767,False,False,Residential,"10.525053,7.422014",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,315.8005144
7613,08/11/2024 15:45,True,08/11/2024 15:45,,34.24112488,86.2610513,0.471384904,0.207708321,90.0,,False,220.0,2.142658656,0.9,4.768,True,False,Residential,"10.525053,7.422015",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,287.5368377
7614,08/11/2024 16:00,False,,08/11/2024 16:00,30.2565803,78.87640752,0.0,0.227427423,90.0,,False,220.0,0.0,0.9,4.769,True,False,Residential,"10.525053,7.422016",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,262.9213584
7615,08/11/2024 16:15,False,,08/11/2024 16:15,31.13316325,65.23001906,0.0,0.243734928,90.0,,False,220.0,0.0,0.9,4.77,True,False,Residential,"10.525053,7.422017",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,217.4333969
7616,08/11/2024 16:30,False,,08/11/2024 16:30,32.92294872,81.96562679,0.0,0.264226335,90.0,,False,220.0,0.0,0.9,4.771,True,False,Residential,"10.525053,7.422018",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,273.218756
7617,08/11/2024 16:45,False,,08/11/2024 16:45,31.67926528,46.25339,0.0,0.275789682,90.0,,False,220.0,0.0,0.9,4.772,True,False,Residential,"10.525053,7.422019",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,154.1779667
7618,08/11/2024 17:00,False,,08/11/2024 17:00,34.40834417,42.29896952,0.0,0.286364424,90.0,,False,220.0,0.0,0.9,4.773,True,False,Residential,"10.525053,7.422020",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,140.9965651
7619,08/11/2024 17:15,False,,08/11/2024 17:15,31.6340647,30.45824611,0.0,0.293978986,90.0,,False,220.0,0.0,0.9,4.774,True,False,Residential,"10.525053,7.422021",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,101.527487
7620,08/11/2024 17:30,False,,08/11/2024 17:30,31.36588193,7.367365048,0.0,0.295820827,90.0,,False,220.0,0.0,0.9,4.775,True,False,Residential,"10.525053,7.422022",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,24.55788349
7621,08/11/2024 17:45,False,,08/11/2024 17:45,34.47542209,6.341499797,0.0,0.297406202,90.0,,False,220.0,0.0,0.9,4.776,True,False,Residential,"10.525053,7.422023",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,21.13833266
7622,08/11/2024 18:00,False,,08/11/2024 18:00,34.26367217,12.49572901,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.777,False,False,Residential,"10.525053,7.422024",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,41.65243005
7623,08/11/2024 18:15,False,,08/11/2024 18:15,33.9906604,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.778,False,False,Residential,"10.525053,7.422025",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7624,08/11/2024 18:30,False,,08/11/2024 18:30,34.99855451,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.779,False,False,Residential,"10.525053,7.422026",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7625,08/11/2024 18:45,False,,08/11/2024 18:45,33.04105061,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.78,False,False,Residential,"10.525053,7.422027",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7626,08/11/2024 19:00,False,,08/11/2024 19:00,30.95857019,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.781,False,False,Residential,"10.525053,7.422028",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7627,08/11/2024 19:15,False,,08/11/2024 19:15,30.09862727,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.782,False,False,Residential,"10.525053,7.422029",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7628,08/11/2024 19:30,False,,08/11/2024 19:30,32.95953224,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.783,False,False,Residential,"10.525053,7.422030",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7629,08/11/2024 19:45,False,,08/11/2024 19:45,32.23649575,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.784,False,False,Residential,"10.525053,7.422031",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7630,08/11/2024 20:00,False,,08/11/2024 20:00,32.01538147,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.785,False,False,Residential,"10.525053,7.422032",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7631,08/11/2024 20:15,False,,08/11/2024 20:15,30.87113232,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.786,False,False,Residential,"10.525053,7.422033",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7632,08/11/2024 20:30,False,,08/11/2024 20:30,29.53261215,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.787,False,False,Residential,"10.525053,7.422034",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7633,08/11/2024 20:45,False,,08/11/2024 20:45,33.00758978,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.788,False,False,Residential,"10.525053,7.422035",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7634,08/11/2024 21:00,False,,08/11/2024 21:00,32.03949796,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.789,False,False,Residential,"10.525053,7.422036",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7635,08/11/2024 21:15,False,,08/11/2024 21:15,30.42287641,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.79,False,False,Residential,"10.525053,7.422037",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7636,08/11/2024 21:30,False,,08/11/2024 21:30,32.48039578,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.791,False,False,Residential,"10.525053,7.422038",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7637,08/11/2024 21:45,False,,08/11/2024 21:45,31.55389982,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.792,False,False,Residential,"10.525053,7.422039",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7638,08/11/2024 22:00,False,,08/11/2024 22:00,31.96480804,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.793,False,False,Residential,"10.525053,7.422040",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7639,08/11/2024 22:15,False,,08/11/2024 22:15,29.85373757,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.794,False,False,Residential,"10.525053,7.422041",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7640,08/11/2024 22:30,False,,08/11/2024 22:30,29.4290163,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.795,False,False,Residential,"10.525053,7.422042",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7641,08/11/2024 22:45,False,,08/11/2024 22:45,32.42778332,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.796,False,False,Residential,"10.525053,7.422043",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7642,08/11/2024 23:00,False,,08/11/2024 23:00,33.63302519,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.797,False,False,Residential,"10.525053,7.422044",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7643,08/11/2024 23:15,False,,08/11/2024 23:15,34.04773515,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.798,False,False,Residential,"10.525053,7.422045",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7644,08/11/2024 23:30,False,,08/11/2024 23:30,29.85011598,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.799,False,False,Residential,"10.525053,7.422046",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7645,08/11/2024 23:45,False,,08/11/2024 23:45,34.23961429,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.8,False,False,Residential,"10.525053,7.422047",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7646,09/11/2024 00:00,False,,09/11/2024 00:00,33.13201101,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.801,False,False,Residential,"10.525053,7.422048",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7647,09/11/2024 00:15,False,,09/11/2024 00:15,30.89890899,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.802,False,False,Residential,"10.525053,7.422049",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7648,09/11/2024 00:30,False,,09/11/2024 00:30,30.52153369,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.803,False,False,Residential,"10.525053,7.422050",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7649,09/11/2024 00:45,False,,09/11/2024 00:45,29.53037303,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.804,False,False,Residential,"10.525053,7.422051",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7650,09/11/2024 01:00,False,,09/11/2024 01:00,33.53357955,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.805,False,False,Residential,"10.525053,7.422052",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7651,09/11/2024 01:15,False,,09/11/2024 01:15,29.51997066,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.806,False,False,Residential,"10.525053,7.422053",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7652,09/11/2024 01:30,False,,09/11/2024 01:30,30.15162426,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.807,False,False,Residential,"10.525053,7.422054",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7653,09/11/2024 01:45,False,,09/11/2024 01:45,30.29153495,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.808,False,False,Residential,"10.525053,7.422055",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
7654,09/11/2024 02:00,False,,09/11/2024 02:00,30.13447919,0.0,0.0,0.300530134,90.0,,False,220.0,0.0,0.9,4.809,False,False,Residential,"10.525053,7.422056",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
